# ETH-XRP Copyright Bittrex Inc. 2017

[TimeStamp], [Open], [Close], [High], [Low], [Volume], [BaseVolume]
6/25/2017 4:25:00 AM,0.00120000,0.00120000,0.00120000,0.00120000,0.50000000,0.00060000
6/25/2017 4:29:00 AM,0.00105000,0.00080033,0.00105000,0.00080033,303.40849220,0.27808683
6/25/2017 4:31:00 AM,0.00105000,0.00105000,0.00105000,0.00105000,200.00000000,0.21000000
6/25/2017 4:32:00 AM,0.00105000,0.00105000,0.00105000,0.00105000,67.75673600,0.07114457
6/25/2017 4:40:00 AM,0.00105000,0.00105000,0.00105000,0.00105000,200.00000000,0.20999999
6/25/2017 5:10:00 AM,0.00082000,0.00082000,0.00082000,0.00082000,206.36191010,0.16921676
6/25/2017 5:16:00 AM,0.00083000,0.00083000,0.00083000,0.00083000,178.73059690,0.14834639
6/25/2017 5:20:00 AM,0.00119000,0.00083006,0.00119000,0.00083006,157.08730029,0.18132144
6/25/2017 5:21:00 AM,0.00119999,0.00119999,0.00119999,0.00119999,136.44001825,0.16372664
6/25/2017 5:57:00 AM,0.00116376,0.00070075,0.00116376,0.00070075,382.95983709,0.41001167
6/25/2017 7:14:00 AM,0.00095500,0.00095500,0.00095500,0.00095500,42.30440325,0.04040070
6/25/2017 7:16:00 AM,0.00095499,0.00095499,0.00095499,0.00095499,25.00000000,0.02387475
6/25/2017 7:18:00 AM,0.00095499,0.00095499,0.00095499,0.00095499,51.25968028,0.04895247
6/25/2017 7:59:00 AM,0.00095499,0.00088873,0.00095499,0.00088873,2315.30044969,2.19609694
6/25/2017 8:10:00 AM,0.00092001,0.00093000,0.00093001,0.00092001,2738.31960050,2.54582227
6/25/2017 8:11:00 AM,0.00093000,0.00093000,0.00093000,0.00093000,14929.95198826,13.88485526
6/25/2017 8:12:00 AM,0.00093000,0.00093000,0.00093000,0.00093000,680.70223305,0.63305306
6/25/2017 8:14:00 AM,0.00093000,0.00093000,0.00093000,0.00093000,228.57635241,0.21257600
6/25/2017 8:15:00 AM,0.00093000,0.00093000,0.00093000,0.00093000,10122.25854977,9.41370042
6/25/2017 8:16:00 AM,0.00093000,0.00093000,0.00093000,0.00093000,35.00000000,0.03255000
6/25/2017 8:24:00 AM,0.00119995,0.00119999,0.00119999,0.00119995,164.19095437,0.19702165
6/25/2017 8:30:00 AM,0.00142998,0.00142998,0.00142998,0.00142998,1.80015693,0.00257418
6/25/2017 8:44:00 AM,0.00095399,0.00095399,0.00095399,0.00095399,150.00000000,0.14309850
6/25/2017 8:45:00 AM,0.00095399,0.00095399,0.00095399,0.00095399,45.00000000,0.04292954
6/25/2017 8:46:00 AM,0.00090000,0.00090000,0.00090000,0.00090000,10.00000000,0.00900000
6/25/2017 8:53:00 AM,0.00095399,0.00095399,0.00095399,0.00095399,1.00000000,0.00095399
6/25/2017 8:55:00 AM,0.00092000,0.00092000,0.00092000,0.00092000,4.00000000,0.00368000
6/25/2017 8:56:00 AM,0.00092000,0.00095399,0.00095399,0.00092000,500.00000000,0.46881361
6/25/2017 9:00:00 AM,0.00095399,0.00095399,0.00095399,0.00095399,150.00000000,0.14309849
6/25/2017 9:02:00 AM,0.00091800,0.00091800,0.00091800,0.00091800,4.00000000,0.00367200
6/25/2017 9:03:00 AM,0.00105000,0.00120000,0.00120000,0.00105000,195.00000000,0.21150000
6/25/2017 9:08:00 AM,0.00118000,0.00118000,0.00118000,0.00118000,200.00000000,0.23600000
6/25/2017 9:12:00 AM,0.00093500,0.00093500,0.00093500,0.00093500,1109.46244051,1.03734735
6/25/2017 9:13:00 AM,0.00093500,0.00091025,0.00093500,0.00091025,525.42096235,0.48766830
6/25/2017 9:33:00 AM,0.00092439,0.00092439,0.00092439,0.00092439,30.00000000,0.02773170
6/25/2017 9:51:00 AM,0.00091228,0.00091228,0.00091228,0.00091228,394.52733360,0.35991939
6/25/2017 9:52:00 AM,0.00091230,0.00091232,0.00091232,0.00091230,84.95201686,0.07750266
6/25/2017 9:53:00 AM,0.00091248,0.00091248,0.00091248,0.00091248,1125.77655884,1.02724859
6/25/2017 9:54:00 AM,0.00092000,0.00091251,0.00092000,0.00091251,920.21707470,0.83978218
6/25/2017 9:55:00 AM,0.00092000,0.00092000,0.00092000,0.00092000,25.68309872,0.02362845
6/25/2017 9:56:00 AM,0.00092000,0.00091256,0.00092000,0.00091256,1263.11320125,1.15638657
6/25/2017 9:58:00 AM,0.00091998,0.00091998,0.00091998,0.00091998,758.98389095,0.69824999
6/25/2017 10:00:00 AM,0.00091995,0.00091998,0.00091998,0.00091995,3371.73291063,3.10185959
6/25/2017 10:01:00 AM,0.00091998,0.00091217,0.00091998,0.00091217,4675.22941486,4.30089812
6/25/2017 10:04:00 AM,0.00091225,0.00091227,0.00091227,0.00091225,844.34973237,0.77026697
6/25/2017 10:18:00 AM,0.00091295,0.00091294,0.00091295,0.00091294,840.36258288,0.76720199
6/25/2017 10:21:00 AM,0.00091298,0.00091298,0.00091298,0.00091298,138.61918292,0.12655654
6/25/2017 10:22:00 AM,0.00091298,0.00091298,0.00091298,0.00091298,539.40714712,0.49246792
6/25/2017 10:27:00 AM,0.00091298,0.00091298,0.00091298,0.00091298,211.11557846,0.19274430
6/25/2017 10:29:00 AM,0.00091299,0.00091298,0.00091299,0.00091298,2702.10685742,2.46697497
6/25/2017 10:32:00 AM,0.00091299,0.00091298,0.00091299,0.00091298,355.22045772,0.32431117
6/25/2017 10:37:00 AM,0.00091298,0.00091298,0.00091298,0.00091298,31.23398094,0.02851599
6/25/2017 10:38:00 AM,0.00091298,0.00091298,0.00091298,0.00091298,36.24361640,0.03308969
6/25/2017 10:39:00 AM,0.00091298,0.00091298,0.00091298,0.00091298,2445.12146296,2.23234699
6/25/2017 10:40:00 AM,0.00091298,0.00091298,0.00091298,0.00091298,609.14220856,0.55613465
6/25/2017 10:41:00 AM,0.00091298,0.00091298,0.00091298,0.00091298,5489.16401031,5.01149694
6/25/2017 10:42:00 AM,0.00091298,0.00091298,0.00091298,0.00091298,4945.08042537,4.51475949
6/25/2017 10:44:00 AM,0.00091298,0.00091118,0.00091298,0.00091118,4346.33520327,3.96768835
6/25/2017 10:45:00 AM,0.00091118,0.00091111,0.00091118,0.00091111,217.22991611,0.19792778
6/25/2017 10:48:00 AM,0.00091100,0.00091095,0.00091100,0.00091095,400.36593804,0.36472559
6/25/2017 11:06:00 AM,0.00091298,0.00091298,0.00091298,0.00091298,499.35120690,0.45589766
6/25/2017 11:10:00 AM,0.00090013,0.00090012,0.00090013,0.00090012,370.79209784,0.33375838
6/25/2017 11:11:00 AM,0.00090012,0.00090012,0.00090012,0.00090012,2976.91511662,2.67958082
6/25/2017 11:12:00 AM,0.00090000,0.00090000,0.00090000,0.00090000,145.43551197,0.13089195
6/25/2017 11:16:00 AM,0.00089999,0.00089999,0.00089999,0.00089999,221.66912966,0.19949998
6/25/2017 11:44:00 AM,0.00089999,0.00089999,0.00089999,0.00089999,10.00000000,0.00899990
6/25/2017 11:48:00 AM,0.00109478,0.00109478,0.00109478,0.00109478,1000.00000000,1.09478000
6/25/2017 11:49:00 AM,0.00109473,0.00109473,0.00109473,0.00109473,25.50000000,0.02791561
6/25/2017 12:02:00 PM,0.00109399,0.00109399,0.00109399,0.00109399,243.39390243,0.26627049
6/25/2017 12:29:00 PM,0.00095000,0.00099993,0.00099993,0.00095000,2782.74070542,2.76371738
6/25/2017 12:36:00 PM,0.00099773,0.00099773,0.00099773,0.00099773,9.87594132,0.00985352
6/25/2017 12:44:00 PM,0.00094989,0.00094989,0.00094989,0.00094989,999.76947671,0.94967102
6/25/2017 12:53:00 PM,0.00094939,0.00094939,0.00094939,0.00094939,451.56896093,0.42871505
6/25/2017 1:00:00 PM,0.00094897,0.00094898,0.00094898,0.00094897,300.00000000,0.28469215
6/25/2017 1:03:00 PM,0.00094894,0.00094895,0.00094895,0.00094894,1092.89908423,1.03709745
6/25/2017 1:05:00 PM,0.00090532,0.00094893,0.00094893,0.00090532,191.13170369,0.17744570
6/25/2017 1:07:00 PM,0.00094891,0.00094891,0.00094891,0.00094891,16.10476007,0.01528196
6/25/2017 1:11:00 PM,0.00094888,0.00094888,0.00094888,0.00094888,18.20252751,0.01727201
6/25/2017 1:45:00 PM,0.00091090,0.00091090,0.00091090,0.00091090,26.94652905,0.02454559
6/25/2017 1:50:00 PM,0.00091105,0.00091105,0.00091105,0.00091105,1173.53217697,1.06914648
6/25/2017 1:54:00 PM,0.00092006,0.00092007,0.00092007,0.00092006,1012.26948488,0.93135305
6/25/2017 1:55:00 PM,0.00093000,0.00092010,0.00093001,0.00092010,5680.46677314,5.27593540
6/25/2017 1:58:00 PM,0.00093001,0.00093001,0.00093001,0.00093001,91.75316066,0.08533134
